1094909310809690112,"Ecological disaster awaits Kerala https://t.co/UF3lBh8gRZ … … 
#Keralarains #shashitharoor #KasturiRangan #Gadgilreport #westernghats @KeralaTourism 
#SaveAlappad @1Manojk #KeralaFloods #Kerala #UN @PwC_IN #DisasterManagement #Relief #Mining #KMML #IRE #EPJayarajan #PTThomas",Mon Feb 11 10:41:36 +0000 2019
1094894482837917696,"RT @ZikoZik5: Anothr story of resurgence from kerala. Roads ravished by floods rebuilt at record time.😍😍
#KeralaLeads #Kerala
#KeralaFloods…",Mon Feb 11 09:42:41 +0000 2019
1094894349307891712,"RT @ZikoZik5: Anothr story of resurgence from kerala. Roads ravished by floods rebuilt at record time.😍😍
#KeralaLeads #Kerala
#KeralaFloods…",Mon Feb 11 09:42:09 +0000 2019
1094894321726148608,"RT @alluarjun: My Heartful Prayers to the Victims  who were effected by floods in Kerala. 
#KeralaFloods #Keralarains",Mon Feb 11 09:42:03 +0000 2019
1094893836978016256,"RT @ZikoZik5: Anothr story of resurgence from kerala. Roads ravished by floods rebuilt at record time.😍😍
#KeralaLeads #Kerala
#KeralaFloods…",Mon Feb 11 09:40:07 +0000 2019
1094890765317066754,"RT @ZikoZik5: Anothr story of resurgence from kerala. Roads ravished by floods rebuilt at record time.😍😍
#KeralaLeads #Kerala
#KeralaFloods…",Mon Feb 11 09:27:55 +0000 2019
1094889410988957696,RT @ShashiTharoor: My letter to the Nobel Peace Prize Committee nominating the fishermen of Kerala for this year's Peace Prize in recogniti…,Mon Feb 11 09:22:32 +0000 2019
1094886778442399746,"RT @GoaFront: @GoaFront &amp; JCI Sanquelim initiative, candle light march for fund collection, let's bring lights in the lives of our brothers…",Mon Feb 11 09:12:04 +0000 2019
1094882506002681856,"Anothr story of resurgence from kerala. Roads ravished by floods rebuilt at record time.😍😍
#KeralaLeads #Kerala
#KeralaFloods
@vijayanpinarayi @cpimspeak https://t.co/TG9Mb2ShN5",Mon Feb 11 08:55:06 +0000 2019
1094863644989509632,RT @eccentricraj: @AllegedLowbrow @nirbhaisingh07 @ssingapuri @NaMo_SARKAAR @CPIM_Keralam SPEW VENOM PURPORTED BY #PFI NORTH SOUTH #INDIA M…,Mon Feb 11 07:40:09 +0000 2019
1094859386311327744,RT @ShashiTharoor: My letter to the Nobel Peace Prize Committee nominating the fishermen of Kerala for this year's Peace Prize in recogniti…,Mon Feb 11 07:23:13 +0000 2019
1094851444086370304,RT @eccentricraj: @AllegedLowbrow @nirbhaisingh07 @ssingapuri @NaMo_SARKAAR @CPIM_Keralam SPEW VENOM PURPORTED BY #PFI NORTH SOUTH #INDIA M…,Mon Feb 11 06:51:40 +0000 2019
1094848625178525696,"RT @friendsofrss: Unending Spirit: More than 6000 RSS Swayamsevaks gathered today morning, for the Post-Flood Relief Works at Aranmula and…",Mon Feb 11 06:40:28 +0000 2019
1094848593977053185,"RT @rajeshpadmar: Unending Spirit:
More than 6000 RSS Swayamsevaks gathered today morning, for the Post-Flood Relief Works at Aranmula and…",Mon Feb 11 06:40:20 +0000 2019
1094848563337744384,"RT @rajeshpadmar: Reaching the Unreached.
RSS Swayamsevaks reaching the remote Flood Hit zones in Kerala.
#RSSinAction #RSSinKerala #Kerala…",Mon Feb 11 06:40:13 +0000 2019
